feature,shap_importance,p_value,statistically_significant,pearson_r,rank_shap
study_hours_per_day,6.5505,0.0,True,0.627,1
stress_level,4.2535,0.0,True,-0.4357,2
attendance_pct,3.2964,0.0,True,0.3123,3
previous_gpa,2.8686,0.0,True,0.2981,4
sleep_hours,2.2389,0.0,True,0.2448,5
screen_time_hrs,2.1555,0.0,True,-0.2163,6
has_part_time_job,1.3726,0.000225,True,,7
exercise_freq,1.1569,1e-05,True,0.0984,8
extracurricular_hrs,0.8225,0.084221,False,0.0386,9
gender_Male,0.0401,,,,10
gender_Other,0.0139,,,,11
